Altium Designer Pick and Place Locations
C:\Users\PRASUN\Desktop\university_of_colorado_boulder\Fall_2021(first sem)\Practical Printed Circuit board\projects\board_2_PCB_lab\Project Outputs for board_2_PCB_lab\Pick Place for ECEN5730_BOARD2.csv

========================================================================================================================
File Design Information:

Date:       30-09-21
Time:       13:13
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R13","50 Ohms","TopLayer","0402_Passive_Resistor","2935.000","485.000","0","CHIP RESISTOR - SURFACE MOUNT 49.9OHMS ±1% 1/16W 0402 ROHS"
"R12","50 Ohms","TopLayer","0402_Passive_Resistor","1099.685","640.000","0","CHIP RESISTOR - SURFACE MOUNT 49.9OHMS ±1% 1/16W 0402 ROHS"
"R11","50 Ohms","TopLayer","0402_Passive_Resistor","2920.000","575.000","0","CHIP RESISTOR - SURFACE MOUNT 49.9OHMS ±1% 1/16W 0402 ROHS"
"R10","50 Ohms","TopLayer","0402_Passive_Resistor","1100.000","545.000","0","CHIP RESISTOR - SURFACE MOUNT 49.9OHMS ±1% 1/16W 0402 ROHS"
"R9","50 Ohms","TopLayer","0402_Passive_Resistor","2940.000","685.000","0","CHIP RESISTOR - SURFACE MOUNT 49.9OHMS ±1% 1/16W 0402 ROHS"
"R8","50 Ohms","TopLayer","0402_Passive_Resistor","1105.000","735.000","0","CHIP RESISTOR - SURFACE MOUNT 49.9OHMS ±1% 1/16W 0402 ROHS"
"U3","NE555DR","TopLayer","TS555IDTTR","2355.000","1785.000","180","555 Timer SOIC-8_150MIL ROHS 150ns Rise Time"
"U2","74HC14D,653","TopLayer","HEX_74AC14","2226.653","635.000","0","Inverter IC 6 Channel Schmitt Trigger 14-SOIC"
"TP9","TP_555_OUTPUT","TopLayer","TP10x_Probe","565.000","150.000","180","Test Point 300 mil centers"
"TP8","TP_555_OUTPUT","TopLayer","TP10x_Probe","2290.000","145.000","180","Test Point 300 mil centers"
"TP7","TP_555_OUTPUT","TopLayer","TP10x_Probe","1745.000","320.000","90","Test Point 300 mil centers"
"TP6","TP_555_OUTPUT","TopLayer","TP10x_Probe","135.000","305.000","90","Test Point 300 mil centers"
"TP5","TP_555_OUTPUT","TopLayer","TP10x_Probe","1740.000","875.000","90","Test Point 300 mil centers"
"TP4","TP_555_OUTPUT","TopLayer","TP10x_Probe","130.000","845.000","90","Test Point 300 mil centers"
"TP3","TP_555_OUTPUT","TopLayer","TP10x_Probe","2470.000","1240.000","90","Test Point 300 mil centers"
"TP2","TP_5V","TopLayer","TP10x_Probe","1035.000","1665.000","90","Test Point 300 mil centers"
